country,population,region,prev_per_1000,prev_total,governance_issues,basic_needs,inequality,disenfranchised_groups,effect_conflict,vulnerability,survivor_support,criminal_justice,coordination,risk_factors,sourcing_reform,government_response
Timor-Leste,1318000,Asia and the Pacific,6.10,8000.00,46,56,52,67,10,51,32,42,50,36,0,35
Togo,8279000,Africa,3.30,28000.00,60,51,48,68,13,57,27,42,38,43,0,33
Trinidad and Tobago,1399000,Americas,4.70,7000.00,41,31,59,49,8,38,50,65,63,36,0,49
Tunisia,11819000,Africa,2.30,27000.00,54,31,39,66,33,48,50,54,50,57,0,47
Türkiye,84339000,Europe and Central Asia,15.60,1320000.00,46,31,42,67,65,51,64,54,63,36,0,49
Turkmenistan,6031000,Europe and Central Asia,11.90,72000.00,68,20,24,76,16,47,14,46,25,21,0,26
Uganda,45741000,Africa,4.20,190000.00,48,73,52,71,29,62,50,50,75,43,0,46
Ukraine,43734000,Europe and Central Asia,12.80,559000.00,49,27,41,66,50,48,64,54,63,50,0,51
United Arab Emirates,9890000,Arab States,13.40,132000.00,57,27,22,68,6,40,59,42,75,64,0,50
United Kingdom,67886000,Europe and Central Asia,1.80,122000.00,12,25,28,30,34,14,59,81,75,71,38,68
United States of America,331003000,Americas,3.30,1091000.00,28,28,29,36,33,25,86,62,63,64,38,67
Uruguay,3474000,Americas,1.90,7000.00,41,25,48,22,9,27,55,73,50,64,0,56
Uzbekistan,33469000,Europe and Central Asia,7.40,249000.00,72,34,37,66,23,56,45,54,50,57,0,46
Vanuatu,307000,Asia and the Pacific,,,,,,,,,9,38,50,29,0,26
Venezuela,28436000,Americas,9.50,270000.00,67,41,80,54,37,66,14,46,25,29,0,27
Viet Nam,97339000,Asia and the Pacific,4.10,396000.00,47,40,33,64,23,44,64,46,75,36,0,47
Yemen,29826000,Arab States,6.00,180000.00,78,60,64,88,80,89,,,,,,
Zambia,18384000,Africa,5.10,94000.00,47,61,64,80,7,58,50,46,50,57,0,45
Zimbabwe,14863000,Africa,5.00,74000.00,74,62,61,81,22,75,27,35,38,21,0,27
