"country","population","region","prev_per_1000","prev_total","governance_issues","basic_needs","inequality","disenfranchised_groups","effect_conflict","vulnerability","survivor_support","criminal_justice","coordination","risk_factors","sourcing_reform","government_response","surveyed"
"Taiwan","23817000","Asia and the Pacific",1.7,40000,26,29,29,50,4,21,45,36,63,79,13,47,0
"Tajikistan","9538000","Europe and Central Asia",14,133000,69,47,44,88,33,67,23,54,50,36,0,36,0
"Tanzania","59734000","Africa",2.9,171000,50,53,50,64,22,53,45,54,50,36,0,42,0
"Thailand","69800000","Asia and the Pacific",5.7,401000,42,32,47,58,55,46,50,65,75,64,0,55,1
"Timor-Leste","1318000","Asia and the Pacific",6.1,8000,46,56,52,67,10,51,32,42,50,36,0,35,0
"Togo","8279000","Africa",3.3,28000,60,51,48,68,13,57,27,42,38,43,0,33,0
"Trinidad and Tobago","1399000","Americas",4.7,7000,41,31,59,49,8,38,50,65,63,36,0,49,0
"Tunisia","11819000","Africa",2.3,27000,54,31,39,66,33,48,50,54,50,57,0,47,0
"Türkiye","84339000","Europe and Central Asia",15.6,1320000,46,31,42,67,65,51,64,54,63,36,0,49,1
"Turkmenistan","6031000","Europe and Central Asia",11.9,72000,68,20,24,76,16,47,14,46,25,21,0,26,0
"Uganda","45741000","Africa",4.2,190000,48,73,52,71,29,62,50,50,75,43,0,46,1
"Ukraine","43734000","Europe and Central Asia",12.8,559000,49,27,41,66,50,48,64,54,63,50,0,51,1
"United Arab Emirates","9890000","Arab States",13.4,132000,57,27,22,68,6,40,59,42,75,64,0,50,1
"United Kingdom","67886000","Europe and Central Asia",1.8,122000,12,25,28,30,34,14,59,81,75,71,38,68,1
"United States of America","331003000","Americas",3.3,1091000,28,28,29,36,33,25,86,62,63,64,38,67,0
"Uruguay","3474000","Americas",1.9,7000,41,25,48,22,9,27,55,73,50,64,0,56,0
"Uzbekistan","33469000","Europe and Central Asia",7.4,249000,72,34,37,66,23,56,45,54,50,57,0,46,0
"Vanuatu","307000","Asia and the Pacific",NA,NA,NA,NA,NA,NA,NA,NA,9,38,50,29,0,26,0
"Venezuela","28436000","Americas",9.5,270000,67,41,80,54,37,66,14,46,25,29,0,27,1
"Viet Nam","97339000","Asia and the Pacific",4.1,396000,47,40,33,64,23,44,64,46,75,36,0,47,1
"Yemen","29826000","Arab States",6,180000,78,60,64,88,80,89,NA,NA,NA,NA,NA,NA,0
"Zambia","18384000","Africa",5.1,94000,47,61,64,80,7,58,50,46,50,57,0,45,0
"Zimbabwe","14863000","Africa",5,74000,74,62,61,81,22,75,27,35,38,21,0,27,1
