"country","htflowsunodc","prostitutionlaw","prostitutionbrothel","ruleWB_m","pop_ln","gdp_pc_const_ppp_ln","democracy","stockmigrants1990_ln","catholic2","reg_east_asia","reg_west_europe","reg_latam","reg_mideast","reg_sasia","reg_ssa"
"Ukraine",3,0,0,-0.923717141151428,17.7573318481445,8.26838684082031,1,8.83824729919434,0,0,0,0,0,0,0
"Uruguay",0,0,0,0.532530128955841,14.9843301773071,9.05438709259033,1,4.58700609207153,59.5,0,0,1,0,0,0
"United States",5,0,0,1.68126618862152,19.4000511169434,10.4312677383423,1,10.0541038513184,30,0,1,0,0,0,0
"Uzbekistan",2,0,0,-0.974546730518341,16.9416122436523,7.28739070892334,0,7.41034698486328,0,0,0,0,0,0,0
"St. Vincent and the Grenadines",NA,NA,NA,-0.328691720962524,11.5904235839844,8.45762062072754,1,-0.340331703424454,62.6686134338379,0,0,1,0,0,0
"Venezuela, RB",3,1,1,-0.710925817489624,16.9085063934326,9.22638130187988,1,6.93127632141113,94.8000030517578,0,0,1,0,0,0
"Virgin Islands (U.S.)",NA,NA,NA,0.927548050880432,11.5881910324097,9.63826370239258,0,1.26824617385864,39.8225975036621,0,1,0,0,0,0
"Vietnam",3,0,0,-0.457215666770935,18.1056957244873,7.10178804397583,0,3.38099455833435,3.90000009536743,1,0,0,0,0,0
"Vanuatu",NA,NA,NA,-0.68682849407196,12.0565280914307,8.17103576660156,1,-1.00780403614044,132.031372070312,1,0,0,0,0,0
"West Bank and Gaza",NA,NA,NA,-0.0571895726025105,14.7216157913208,8.37936401367188,1,4.00093507766724,129.214019775391,0,0,0,1,0,0
"Samoa",NA,NA,NA,-0.531035900115967,12.0334138870239,7.88156223297119,0,1.87990045547485,52.0761909484863,1,0,0,0,0,0
"Yemen, Rep.",2,0,0,-1.08492434024811,16.5578308105469,7.52168703079224,0,5.83918714523315,0,0,0,0,1,0,0
"South Africa",3,0,0,0.135745048522949,17.4821453094482,8.92137622833252,0,7.11020612716675,10.3999996185303,0,0,0,0,0,1
